source_id,competition_id,year,path,parser,tab,status,notes
glintcap-2026,glintcap,2026,data/source/web/glintcap/2026/commercial.html,glintcap_web,results.csv,active,commercial division only
us-open-cider-championship-2025,us-open-cider-championship,2025,data/source/web/us-open-cider-championship/2025/results.html,us_open_web,results.csv,active,
cidercraft-awards-2026,cidercraft-awards,2026,data/source/web/cidercraft-awards/2026/sip.html,cidercraft_web,results.csv,active,9th annual; full list via Sip Magazine
cidercraft-awards-2025,cidercraft-awards,2025,data/source/web/cidercraft-awards/2025/results.html,cidercraft_web,results.csv,active,8th annual
museum-of-cider-2026,museum-of-cider,2026,data/source/web/museum-of-cider/2026/results.html,museum_of_cider_web,results.csv,active,112 entries from 35 cidermakers
international-cider-awards-2026,international-cider-awards,2026,data/source/web/international-cider-awards/2026/results.html,international_cider_awards_web,results.csv,active,
concours-regional-cidricole-de-bretagne-2025,concours-regional-cidricole-de-bretagne,2025,data/source/web/concours-regional-cidricole-de-bretagne/2025/results.html,bretagne_web,results.csv,active,10th edition; 38 cidreries 205 samples 18 categories
concours-regional-cidricole-de-bretagne-2026,concours-regional-cidricole-de-bretagne,2026,data/source/web/concours-regional-cidricole-de-bretagne/2026/results.html,bretagne_web,results.csv,active,11th edition; 39 cidreries 193 samples 17 categories
concours-general-agricole-2025,concours-general-agricole,2025,data/source/web/concours-general-agricole/2025/cidres-poires.xlsx,cga_export,results.csv,staging,hand-exported palmares; staging until the rows are in the sheet with WIDs
concours-general-agricole-2026,concours-general-agricole,2026,data/source/web/concours-general-agricole/2026/cidres-poires.xlsx,cga_export,results.csv,staging,hand-exported palmares; staging until the rows are in the sheet with WIDs
