Name,Year,🏅 Finalist,🏆 Winner,Total
2 Towns Ciderhouse,2016,1,0,1
AeppelTreow Winery & Distillery,2016,0,1,1
Albemarle CiderWorks,2020,0,1,1
Angry Orchard,2018,1,0,1
Argus Cidery,2016,1,1,2
Argus Cidery,2019,1,0,1
Art+Science Cider & Wine,2016,0,1,1
Art+Science Cider & Wine,2021,1,0,1
Artifact Cider Project,2022,1,0,1
Artifact Cider Project,2023,2,0,2
Bad Seed Cider,2017,1,0,1
Bauman's Cider,2022,1,0,1
Bauman's Cider,2023,0,1,1
Bauman's Cider,2024,1,0,1
Berkshire Cider Project,2023,1,0,1
Big B's Hard Cider,2016,1,2,3
Big B's Hard Cider,2017,2,1,3
Big B's Hard Cider,2018,0,2,2
Big B's Hard Cider,2019,1,0,1
Big B's Hard Cider,2020,0,1,1
Big B's Hard Cider,2021,0,1,1
Big B's Hard Cider,2022,0,3,3
Big Fish Cider Co.,2018,0,1,1
Big Fish Cider Co.,2019,0,1,1
Blue Bee Cider,2017,0,1,1
Blue Bee Cider,2019,0,2,2
Botanist & Barrel,2022,1,0,1
Botanist & Barrel,2023,1,0,1
Castle Hill Cider,2017,2,0,2
Castle Hill Cider,2018,0,2,2
Castle Hill Cider,2023,1,2,3
Champlain Orchards,2020,0,2,2
Champlain Orchards,2021,1,0,1
Champlain Orchards,2022,0,2,2
Champlain Orchards,2023,2,1,3
Champlain Orchards,2024,0,1,1
Coturri Winery,2022,0,1,1
Dragon's Head Cider,2018,1,2,3
Dragon's Head Cider,2019,0,1,1
Eaglemount Wine & Cider,2016,1,0,1
Eden Ciders,2016,1,2,3
Eden Ciders,2018,1,0,1
Eden Ciders,2021,1,1,2
Eden Ciders,2022,0,2,2
Eden Ciders,2024,0,3,3
Ela Cider Co.,2016,0,1,1
Ethic Ciders,2018,0,1,1
Ethic Ciders,2021,1,1,2
Ethic Ciders,2023,0,1,1
Eve's Cidery,2016,0,1,1
Eve's Cidery,2017,1,0,1
Fable Farm Fermentory,2018,0,1,1
Fable Farm Fermentory,2019,0,1,1
Fable Farm Fermentory,2021,0,2,2
Fable Farm Fermentory,2023,1,1,2
Far West Cider,2017,2,1,3
Far West Cider,2018,0,2,2
Far West Cider,2019,0,1,1
Farmstead Cider,2021,0,1,1
Farmstead Cider,2022,2,1,3
Farmstead Cider,2024,0,1,1
Finger Lakes Cider House,2017,0,1,1
Finnriver Farm & Cidery,2016,0,1,1
Finnriver Farm & Cidery,2017,1,1,2
Finnriver Farm & Cidery,2018,0,1,1
Finnriver Farm & Cidery,2019,1,1,2
Finnriver Farm & Cidery,2020,1,0,1
Finnriver Farm & Cidery,2022,2,1,3
Foggy Ridge Cider,2016,1,0,1
Foggy Ridge Cider,2018,0,1,1
Goat Rock Cider Company,2020,0,1,1
