ID,Year,Award,Producer,Product,State
2,2022,🏆 Winner,Big B’s Hard Cider,Colo-Fornia Single Variety Gravistein Hard Cider,Colorado
3,2022,🏆 Winner,Big B’s Hard Cider,Bourbon Barrel Aged Pommeau,Colorado
4,2022,🏆 Winner,Big B’s Hard Cider,One Night Fruit Stand,Colorado
5,2022,🏆 Winner,Champlain Orchards,Honeycrisp,Vermont
6,2022,🏆 Winner,Champlain Orchards,Ettersburg,Vermont
7,2022,🏆 Winner,Coturri Winery,Aeplz Cider,California
8,2022,🏆 Winner,Eden Specialty Ciders,Windfall Orchard Farmhouse Cider,Vermont
9,2022,🏆 Winner,Eden Specialty Ciders,Northern Spy Barrel-Aged Ice Cider,Vermont
10,2022,🏆 Winner,Farmstead Cider,Red Canyon Nan's,Wyoming
11,2022,🏆 Winner,Finnriver Cidery,Perry,Washington
12,2022,🏆 Winner,Gypsy Circus Cider Company,Single Origin: Black Twig Bone Dry,Tennessee
13,2022,🏆 Winner,Liberty Ciderworks,Artisan Series Kingston Black,Washington
14,2022,🏆 Winner,North American Press,Wildcard,California
15,2022,🏆 Winner,Ragged Hill Cider Company,Pommes d'Or,Massachusetts
16,2022,🏆 Winner,Snow Capped Cider,Blanc Mollet,Colorado
17,2022,🏆 Winner,Stormalong Cider,Wickson Single Varietal,Massachusetts
18,2022,🏆 Winner,Troddenvale at Oakley Farm,Special Edition No. 4,Virginia
19,2022,🏆 Winner,Wise Bird Cider Co.,Royal Red,Kentucky
20,2022,🏅 Finalist,Artifact Cider Project,Slow Down,Massachusetts
21,2022,🏅 Finalist,Bauman’s Cider Co,McIntosh Single Varietal,Oregon
22,2022,🏅 Finalist,Botanist & Barrel,The Farmers Orchard Cider,North Carolina
23,2022,🏅 Finalist,Farmstead Cider,Bitter Local Cider,Wyoming
24,2022,🏅 Finalist,Farmstead Cider,Rafter J Cider,Wyoming
25,2022,🏅 Finalist,Finnriver Cidery,Black Oak,Washington
26,2022,🏅 Finalist,Finnriver Cidery,Fire Barrel,Washington
27,2022,🏅 Finalist,Ragged Hill Cider Company,Ice Cider,Massachusetts
28,2022,🏅 Finalist,Raging Cider & Mead Co,Season Recap Pét-Nat,California
29,2022,🏅 Finalist,Stormalong Cider,Little Trees Blend,Massachusetts
30,2022,🏅 Finalist,Troddenvale at Oakley Farm,2019 Kieffer Country Wine,Virginia
31,2022,🏅 Finalist,Troddenvale at Oakley Farm,Grower Series: Victor Gaines 2019,Virginia
