ID,Year,Award,Producer,Product,State
2,2017,🏆 Winner,Big B’s Hard Cider,Grizzly Brand,Colorado
3,2017,🏆 Winner,Blue Bee Cider,Harvest Ration,Virginia
4,2017,🏆 Winner,Far West Cider Co,Orchard Blend #1,California
5,2017,🏆 Winner,Finger Lakes Cider House,Barrel Rye,New York
6,2017,🏆 Winner,Finnriver Farm & Cidery,Oak & Apple,Washington
7,2017,🏆 Winner,Humboldt Cider Company,McIntosh,California
8,2017,🏆 Winner,L. Mawby,Bright,Michigan
9,2017,🏆 Winner,L. Mawby,Century,Michigan
10,2017,🏆 Winner,Orchard Hill Cider Mill,Ten66 Pommeau,New York
11,2017,🏆 Winner,Scar of the Sea Wines,Hopped Cider,California
12,2017,🏆 Winner,Slyboro Cider House,La Sainte Terre,New York
13,2017,🏆 Winner,Snowdrift Cider Co.,Reserve Perry,Washington
14,2017,🏆 Winner,Snowdrift Cider Co.,Pommeau,Washington
15,2017,🏆 Winner,Whitewood Cider,Gibb's Farm Single Farm,Washington
16,2017,🏅 Finalist,Bad Seed Hard Cider,IPC,New York
17,2017,🏅 Finalist,Big B's,Chester Hoppearcot,Colorado
18,2017,🏅 Finalist,Big B's,Bourbon Barrel Pommeau,Colorado
19,2017,🏅 Finalist,Castle Hill Cider,1764,Virginia
20,2017,🏅 Finalist,Castle Hill Cider,Levity,Virginia
21,2017,🏅 Finalist,Eve's Cidery,2015 Darling Creek,New York
22,2017,🏅 Finalist,Far West Cider Co.,Pink Cascade,California
23,2017,🏅 Finalist,Far West Cider Co.,San Joaquin Sparkler,California
24,2017,🏅 Finalist,Finnriver Farm & Cidery,Apple Blueberry,Washington
25,2017,🏅 Finalist,Humboldt Cider Company,3 Amigos,California
26,2017,🏅 Finalist,Scar of the Sea,California Hard Cider,California
27,2017,🏅 Finalist,Scar of the Sea,Newtown Pippin Hard Cider,California
28,2017,🏅 Finalist,Whitewood Cider Co.,Newtown Pippin Single Varietal,Washington
29,2017,🏅 Finalist,Wrangletown Cider Company,Feisty Dog Orchard,California
