ID,Year,Award,Producer,Product,State
2,2020,🏆 Winner,Albemarle CiderWorks,Harrison,Virginia
3,2020,🏆 Winner,Big B’s Hard Cider,Harry Masters Jersey,Colorado
4,2020,🏆 Winner,Champlain Orchards Cidery,Honeycrisp,Vermont
5,2020,🏆 Winner,Champlain Orchards Cidery,Redfield - Estate Series,Vermont
6,2020,🏆 Winner,Goat Rock Cider Company,Rosé Cider,California
7,2020,🏆 Winner,Gowan’s Heirloom Cider,Macintosh Applewine Cider,California
8,2020,🏆 Winner,Gowan’s Heirloom Cider,Gravenstein Cider,California
9,2020,🏆 Winner,Gypsy Circus Cider Company,PuppetMaster: Whiskey Barrel Vaudevillian,Tennessee
10,2020,🏆 Winner,Hemly Cider,Sloughouse Jalapeno Pear Cider,California
11,2020,🏆 Winner,Liberty Ciderworks,English Style IV,Washington
12,2020,🏆 Winner,Madrone Cider,The Reserve Blend,Washington
13,2020,🏆 Winner,Stem Ciders,New Hampshire Heritage,Colorado
14,2020,🏆 Winner,Stormalong Cider,Light of the Sun,Massachusetts
15,2020,🏆 Winner,Urban Tree Hard Cider,Habanero Haze,Georgia
16,2020,🏆 Winner,Virtue Cider,The Mitten,Michigan
17,2020,🏆 Winner,Virtue Cider,Michigan Cherry,Michigan
18,2020,🏆 Winner,WildCraft Cider Works,Pisgah Heritage,Oregon
19,2020,🏅 Finalist,Finnriver Farm & Cidery,Pear Cider,Washington
20,2020,🏅 Finalist,Gypsy Circus Cider Company,Vaudevillian,Tennessee
21,2020,🏅 Finalist,Lassen Traditional Cider,Newtown Pippin,California
22,2020,🏅 Finalist,Potter’s Craft Cider,Farmhouse Dry,Virginia
23,2020,🏅 Finalist,Stormalong Cider,Peariful,Massachusetts
24,2020,🏅 Finalist,SILO Distillery,Semi-Dry Cider,Vermont
25,2020,🏅 Finalist,Stem Ciders,Winesap,Colorado
26,2020,🏅 Finalist,Tieton Cider Works,Single Variety Ashmead’s Kernel,Washington
