ID,Year,Award,Producer,Product,State
2,2018,🏆 Winner,Big B’s Hard Cider,Chester Hoppearcot,Colorado
3,2018,🏆 Winner,Big B’s Hard Cider,Grand Cru Ciaison,Colorado
4,2018,🏆 Winner,Big Fish Cider,Allegheny Gold,Virginia
5,2018,🏆 Winner,Castle Hill,Levity,Virginia
6,2018,🏆 Winner,Castle Hill,Serendipity,Virginia
7,2018,🏆 Winner,Dragon’s Head Cider,Traditional Cider,Washington
8,2018,🏆 Winner,Dragon’s Head Cider,Perry,Washington
9,2018,🏆 Winner,Ethic Ciders,Golden Rule,California
10,2018,🏆 Winner,Fable Farm Fermentory,Pronoia,Vermont
11,2018,🏆 Winner,Far West Cider Co,Proper Dry,California
12,2018,🏆 Winner,Far West Cider Co,You've Guava Be Kidding Me,California
13,2018,🏆 Winner,Finnriver Farm & Cidery,Blue Hewe,Washington
14,2018,🏆 Winner,Foggy Ridge Cider,First Fruit,Virginia
15,2018,🏆 Winner,Lassen Traditional Cider,Newtown Pippin,California
16,2018,🏆 Winner,Shacksbury,Shacksbury Dry,Vermont
17,2018,🏆 Winner,South Hill Cider,Soundpost,New York
18,2018,🏆 Winner,Stem Ciders,Colorado Heritage Blend,Colorado
19,2018,🏆 Winner,WildCraft Cider Works,Sage,Oregon
20,2018,🏅 Finalist,Angry Orchard,First Flora,New York
21,2018,🏅 Finalist,Dragon’s Head Cider,Wild Fermented Cider,Washington
22,2018,🏅 Finalist,Eden Ice Cider Company,2015 Honey Crisp Iced Cider,Vermont
23,2018,🏅 Finalist,Nashi Orchards,Chojuro Asian Pear Perry,Washington
24,2018,🏅 Finalist,South Hill Cider,Old Time Cider,New York
