ID,Year,Award,Producer,Product,State
2,2021,🏆 Winner,Big B’s Hard Cider,White Buffalo,Colorado
3,2021,🏆 Winner,Eden Specialty Ciders,Eden Cellar Series: Pomme de Glace Ice Cider,Vermont
4,2021,🏆 Winner,Ethic Ciders,Warren Pear,California
5,2021,🏆 Winner,Fable Farm Fermentory,Emanation,Vermont
6,2021,🏆 Winner,Fable Farm Fermentory,Fluxion,Vermont
7,2021,🏆 Winner,Farmstead,Kelly Street,Wyoming
8,2021,🏆 Winner,James Creek Cider House,Russets & 'Twigs 2019,North Carolina
9,2021,🏆 Winner,Lassen Traditional Cider,Filigreen Farm,California
10,2021,🏆 Winner,Liberty Ciderworks,Heirloom Series McIntosh,Washington
11,2021,🏆 Winner,Liberty Ciderworks,55 Chain,Washington
12,2021,🏆 Winner,Liberty Ciderworks,Heirloom Series Golden Russet,Washington
13,2021,🏆 Winner,Madrone Cellars & Cider,Barrel Aged Currant,Washington
14,2021,🏆 Winner,Snow Capped Cider,Dabinett,Colorado
15,2021,🏆 Winner,Snow Capped Cider,Harrison,Colorado
16,2021,🏆 Winner,Stormalong Cider,Ashmead's Kernel,Massachusetts
17,2021,🏆 Winner,Wise Bird Cider Co.,Hewe's Crab,Kentucky
18,2021,🏆 Winner,Wise Bird Cider Co.,Pommeau,Kentucky
19,2021,🏅 Finalist,Art+Science,Little Apples,Oregon
20,2021,🏅 Finalist,Champlain Orchards Cidery,Ashmead’s Kernel,Vermont
21,2021,🏅 Finalist,Eden Specialty Ciders,Eden Cellar Series: Benjamin – Holistic Pet Nat,Vermont
22,2021,🏅 Finalist,Ethic Ciders,Montage,California
23,2021,🏅 Finalist,Gowan’s Heirloom Cider,Spiced Apple,California
24,2021,🏅 Finalist,James Creek Cider House,Summer Gold 2019,North Carolina
25,2021,🏅 Finalist,Slake Cider,Scrumptown,Oregon
26,2021,🏅 Finalist,Snow Capped Cider,Gold Rush,Colorado
27,2021,🏅 Finalist,Wise Bird Cider Co.,Ashmead’s Kernel,Kentucky
