ID,Year,Award,Producer,Product,State
2,2019,🏆 Winner,Big Fish Cider,Highland Scrumpy,Virginia
3,2019,🏆 Winner,Blue Bee Cider,Hewe's Crab,Virginia
4,2019,🏆 Winner,Blue Bee Cider,Harrison,Virginia
5,2019,🏆 Winner,Dragon’s Head Cider,Kingston Black Cider,Washington
6,2019,🏆 Winner,Fable Farm & Fermentory,Emanation,Vermont
7,2019,🏆 Winner,Far West Cider Co,OB Amarillo,California
8,2019,🏆 Winner,Finnriver Farm & Cidery,Golden Russet,Washington
9,2019,🏆 Winner,KC Ciderworks,Reserve Series,Missouri
10,2019,🏆 Winner,Lassen Traditional Cider,Farmhouse Dry Cider,California
11,2019,🏆 Winner,Liberty Ciderworks,Heirloom Series McIntosh,Washington
12,2019,🏆 Winner,Portersfield Cider,Ridlon 16/2,Maine
13,2019,🏆 Winner,Soquel Cider – Everett Family Farm,Laura's Orchard,California
14,2019,🏆 Winner,Stormalong Cider,Red Skies at Night,Massachusetts
15,2019,🏅 Finalist,Argus Cidery,Ozark Brut,Texas
16,2019,🏅 Finalist,Big B’s,Somerset,Colorado
17,2019,🏅 Finalist,Finnriver Farm & Cidery,Pommeau,Washington
18,2019,🏅 Finalist,KC Ciderworks,Crossroads Apfel,Missouri
19,2019,🏅 Finalist,KC Ciderworks,Hibiscus Orange Apfel,Missouri
20,2019,🏅 Finalist,Santa Cruz Cider Company,Strawberry Cider,California
21,2019,🏅 Finalist,Shacksbury,Rosé Cider,Vermont
22,2019,🏅 Finalist,Soquel Cider,Flagship,California
23,2019,🏅 Finalist,Sundström Cider,Cider/Cider (2017),New York
24,2019,🏅 Finalist,Urban Tree,Vintage Gala,Georgia
25,2019,🏅 Finalist,WildCraft Cider Works,Elderberry Perry,Oregon
26,2019,🏅 Finalist,Wrangletown,Feisty Dog,California
