ID,Year,Award,Producer,Product,State
2,2016,🏆 Winner,AeppelTreow Winery,Barn Swallow Cider,Wisconsin
3,2016,🏆 Winner,Argus Cidery,Malus Cuvée Still Apple Wine,Texas
4,2016,🏆 Winner,Art+Science Cider+Wine,Wild Perry,Oregon
5,2016,🏆 Winner,Big B’s Hard Cider,Orchard Original,Colorado
6,2016,🏆 Winner,Big B’s Hard Cider,Pear Supply,Colorado
7,2016,🏆 Winner,Eden Ice Cider Company,Semi-Dry Naturally Sparkling Cider,Vermont
8,2016,🏆 Winner,Eden Ice Cider Company,Heirloom Blend Ice Cider,Vermont
9,2016,🏆 Winner,Ela Cider Company,Stone Silo,Wisconsin
10,2016,🏆 Winner,Eve’s Cidery,Albee Hill 2014,New York
11,2016,🏆 Winner,Finnriver Farm & Cidery,Firebarrel Cider,Washington
12,2016,🏆 Winner,Shacksbury,Lost & Found,Vermont
13,2016,🏆 Winner,Snowdrift Cider Co.,Cornice,Washington
14,2016,🏅 Finalist,2 Towns Ciderhouse,Traditions Riverwood,Oregon
15,2016,🏅 Finalist,Argus Cidery,Perennial 2013,Texas
16,2016,🏅 Finalist,Big B’s Hard Cider,Grizzly Brand,Colorado
17,2016,🏅 Finalist,Eaglemount Wine and Cider,Ginger Cider,Washington
18,2016,🏅 Finalist,Eden Ice Cider Company,Sparkling Dry,Vermont
19,2016,🏅 Finalist,Foggy Ridge Cider,Handmade,Virginia
20,2016,🏅 Finalist,Shacksbury,Farmhouse,Vermont
21,2016,🏅 Finalist,Snowdrift Cider Co.,Red,Washington
