Medalist,Region,Year,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,Judges' Pick,Total,First,Last,Years,City,Region,Country,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Urban Tree Hard Cider,Georgia,2018,0,0,0,1,0,0,1,2018,2022,4,Atlanta,Georgia,USA,Active,https://urbantreecidery.com/,https://www.facebook.com/UrbanTreeCider/,https://www.instagram.com/urbantreecider/,https://maps.google.com/?cid=8193144976879641306,https://www.yelp.com/biz/urban-tree-cidery-atlanta,https://www.tripadvisor.com/Attraction_Review-g60898-d10201793,https://untappd.com/w/urban-tree-cidery/260157
Vergers de Romilly,Normandy,2018,0,0,0,1,0,0,1,2018,2018,1,Saint-Germain-du-Pert,Normandy,France,Active,https://vergersderomilly.com/,https://www.facebook.com/romillycidre/,https://www.instagram.com/romillycidre/,https://maps.google.com/?cid=17784069933896314553,,https://www.tripadvisor.com/Attraction_Review-g1009737-d2196474,https://untappd.com/RomillyFrenchCidre
Blue Bee Cider,Virginia,2018,0,0,0,0,1,0,1,2018,2019,2,Richmond,Virginia,USA,Active,https://www.bluebeecider.com/,https://www.facebook.com/BlueBeeCider,https://www.instagram.com/bluebeecider/,https://maps.google.com/?cid=17761175602688407320,https://www.yelp.com/biz/blue-bee-cider-richmond,https://www.tripadvisor.com/Attraction_Review-g60893-d4749979,https://untappd.com/w/blue-bee-cider/62200
Brooklyn Cider House,New York,2018,0,0,0,0,1,0,1,2018,2024,3,New Paltz,New York,USA,Active,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,,https://untappd.com/w/brooklyn-cider-house/234267
Cider Brothers,California,2018,0,0,0,0,1,0,1,2018,2018,1,Walnut Creek,California,USA,Inactive,,,,,,,
Donovan Orchards Estate Ciders,New York,2018,0,0,0,0,1,0,1,2018,2024,2,Barker,New York,USA,Active,https://donovanorchards.com/,https://www.facebook.com/donovanorchards,,https://maps.google.com/?cid=13708330907237858097,,,https://untappd.com/BlackBirdCiderWorks
Shoal Hope Ciderworks,Massachusetts,2018,0,0,0,0,1,0,1,2018,2018,1,Provincetown,Massachusetts,USA,Inactive,,,,,,,
WildCraft Cider Works,Oregon,2018,0,0,0,0,1,0,1,2018,2022,2,Eugene,Oregon,USA,Active,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780
Avid Cider,Oregon,2018,0,0,0,0,0,1,1,2018,2024,4,Bend,Oregon,USA,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739
Bereziartua,Basque Country,2018,0,0,0,0,0,1,1,2018,2018,1,Astigarraga,Basque Country,Spain,Active,https://www.bereziartuasagardoa.com/,https://www.facebook.com/Bereziartua,https://www.instagram.com/SBereziartua/,https://maps.google.com/?cid=4287840169739792051,,https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859,https://untappd.com/brewery/7553
Big B's Hard Cider,Colorado,2018,0,0,0,0,0,1,1,2017,2020,4,Hotchkiss,Colorado,USA,Active,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389
Black Diamond Cider,New York,2018,0,0,0,0,0,1,1,2018,2023,2,Trumansburg,New York,USA,Active,https://blackdiamondcider.com/,https://www.facebook.com/incredapple/,https://www.instagram.com/blackdiamondfarm/,https://maps.google.com/?cid=10338399888952299802,,,https://untappd.com/w/black-diamond-farm/192550
Black Mountain Ciderworks,North Carolina,2018,0,0,0,0,0,1,1,2018,2018,1,Black Mountain,North Carolina,USA,Active,http://blackmountainciderworks.com/,https://www.facebook.com/BlackMountainCiderandMead/,https://www.instagram.com/blackmountaincider_and_mead/,https://maps.google.com/?cid=13058897127555703406,https://www.yelp.com/biz/black-mountain-ciderworks-and-meadery-black-mountain-2,https://www.tripadvisor.com/Attraction_Review-g48962-d8372080,https://untappd.com/w/black-mountain-ciderworks-meadery/90592
Champlain Orchards,Vermont,2018,0,0,0,0,0,1,1,2018,2024,5,Shoreham,Vermont,USA,Active,https://www.champlainorchards.com/,https://www.facebook.com/ChamplainOrchards/,https://www.instagram.com/champlainorchards/,https://maps.google.com/?cid=12438523521595198148,https://www.yelp.com/biz/champlain-orchards-shoreham-2,https://www.tripadvisor.com/Attraction_Review-g57398-d9867509,https://untappd.com/w/champlain-orchards/20547
Chatter Creek Winery,Washington,2018,0,0,0,0,0,1,1,2018,2019,2,Woodinville,Washington,USA,Inactive,,,,,,,
Colorado Cider Company,Colorado,2018,0,0,0,0,0,1,1,2017,2024,3,Denver,Colorado,USA,Active,http://www.coloradocider.com/,https://www.facebook.com/coloradocider,https://www.instagram.com/coloradocidercompany/,https://maps.google.com/?cid=9606181927626096546,https://www.yelp.com/biz/colorado-cider-denver,https://www.tripadvisor.com/Attraction_Review-g33388-d8505809,https://untappd.com/w/colorado-cider-company/11426
Common Cider Company,California,2018,0,0,0,0,0,1,1,2018,2018,1,Auburn,California,USA,Inactive,,,,,,,
Domaine Pinnacle,Quebec,2018,0,0,0,0,0,1,1,2018,2018,1,Frelighsburg,Quebec,Canada,Active,https://domainepinnacle.ca/,https://www.facebook.com/cidredomainepinnacle,https://www.instagram.com/domainepinnacle/,,https://www.yelp.com/biz/domaine-pinnacle-frelighsburg,https://www.tripadvisor.com/Attraction_Review-g1927400-d7208483,https://untappd.com/w/domaine-pinnacle/16237
Fly Creek Cider Mill & Orchard,New York,2018,0,0,0,0,0,1,1,2018,2018,1,Fly Creek,New York,USA,Active,http://www.flycreekcidermill.com/,,,https://maps.google.com/?cid=8137906485911727875,https://www.yelp.com/biz/fly-creek-cider-mill-and-orchard-fly-creek,https://www.tripadvisor.com/Attraction_Review-g47730-d278954,https://untappd.com/w/fly-creek-cider-mill/13000
Green Bench Brewing Co.,Florida,2018,0,0,0,0,0,1,1,2018,2018,1,St. Petersburg,Florida,USA,Active,https://www.greenbenchbrewing.com/,https://www.facebook.com/GreenBenchBrewing/,https://www.instagram.com/greenbenchmeadcider/,https://maps.google.com/?cid=4473987284585319628,https://www.yelp.com/biz/green-bench-brewing-company-st-petersburg,https://www.tripadvisor.com/Attraction_Review-g34607-d8505685,https://untappd.com/w/green-bench-mead-cider/184191
Headwater Cider,Massachusetts,2018,0,0,0,0,0,1,1,2017,2018,2,Hawley,Massachusetts,USA,Active,http://www.headwatercider.com/,https://www.facebook.com/profile.php?id=100072389300487,,https://maps.google.com/?cid=10677507708826586466,,,https://untappd.com/w/headwater-cider-company/55527
Island Orchard Cider,Wisconsin,2018,0,0,0,0,0,1,1,2018,2024,4,Ellison Bay,Wisconsin,USA,Active,http://islandorchardcider.com/,https://www.facebook.com/IslandOrchardCider,https://www.instagram.com/islandorchardcider/,https://maps.google.com/?cid=8005585823394699432,https://www.yelp.com/biz/island-orchard-cider-ellison-bay,https://www.tripadvisor.com/Attraction_Review-g59859-d4554998,https://untappd.com/w/island-orchard-cider/36898
Lost Giants Cider Company,Washington,2018,0,0,0,0,0,1,1,2018,2022,2,Bellingham,Washington,USA,Active,https://lostgiantscider.com/,https://www.facebook.com/LostGiantsCider,https://www.instagram.com/lostgiantsciderco,https://maps.google.com/?cid=3699889965366654678,https://www.yelp.com/biz/lost-giants-cider-company-bellingham,,https://untappd.com/w/lost-giants-cider-company/395484
Ragged Hill Cider,Massachusetts,2018,0,0,0,0,0,1,1,2018,2020,3,West Brookfield,Massachusetts,USA,Active,https://www.raggedhillcider.com/,https://www.facebook.com/RaggedHillCider/,https://www.instagram.com/raggedhillcider/,https://maps.google.com/?cid=12743756096350248911,https://www.yelp.com/biz/ragged-hill-orchard-west-brookfield,https://www.tripadvisor.com/Attraction_Review-g41900-d13976564,https://untappd.com/w/ragged-hill-cider-company/339946
Rebel Seed Cidery,Delaware,2018,0,0,0,0,0,1,1,2018,2018,1,Marydel,Delaware,USA,Active,,https://www.facebook.com/RebelSeedCider/,,https://maps.google.com/?cid=7067059753674240387,https://www.yelp.com/biz/harvest-ridge-winery-marydel,https://www.tripadvisor.com/Attraction_Review-g34035-d5327402,https://untappd.com/w/rebel-seed-cider/231348
Rootstock Cider & Spirits,New York,2018,0,0,0,0,0,1,1,2018,2018,1,Williamson,New York,USA,Active,https://www.rootstockciderworks.com/,https://www.facebook.com/RootstockCiderAndSpirits,https://www.instagram.com/rootstockciderandspirits/,https://maps.google.com/?cid=326849638277971533,https://www.yelp.com/biz/apple-country-spirits-williamson,https://www.tripadvisor.com/Attraction_Review-g48892-d4473976,https://untappd.com/w/rootstock-ciderworks/186540
Runcible Cider,Oregon,2018,0,0,0,0,0,1,1,2018,2023,4,Mosier,Oregon,USA,Active,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214
Sea Cider Farm & Ciderhouse,British Columbia,2018,0,0,0,0,0,1,1,2018,2018,1,Saanichton,British Columbia,Canada,Active,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780
Tractor Brewing Company,New Mexico,2018,0,0,0,0,0,1,1,2018,2018,1,Albuquerque,New Mexico,USA,Active,https://getplowed.com/,https://www.facebook.com/TractorBrewingCompany,https://www.instagram.com/tractorbrewing/,https://maps.google.com/?cid=3753383082862892137,https://www.yelp.com/biz/tractor-brewing-company-albuquerque-3,https://www.tripadvisor.com/Attraction_Review-g60933-d7253231,https://untappd.com/w/tractor-brewing-company/3620
Vander Mill,Michigan,2018,0,0,0,0,0,1,1,2018,2018,1,Grand Rapids,Michigan,USA,Active,http://vandermill.com/,https://www.facebook.com/VanderMillGR,https://www.instagram.com/vandermill/,https://maps.google.com/?cid=6214407049389872858,https://www.yelp.com/biz/vander-mill-grand-rapids-grand-rapids-5,https://www.tripadvisor.com/Restaurant_Review-g42256-d10325970,https://untappd.com/w/vander-mill/8388
Vermont Cider Company,Vermont,2018,0,0,0,0,0,1,1,2017,2022,3,Middlebury,Vermont,USA,Active,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611
Seattle Cider Company,Washington,2019,0,1,2,2,0,4,9,2017,2024,6,Seattle,Washington,USA,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
2 Towns Ciderhouse,Oregon,2019,0,2,2,1,2,0,7,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Tieton Cider Works,Washington,2019,0,1,0,1,1,1,4,2017,2024,6,Yakima,Washington,USA,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
Arsenal Cider House,Pennsylvania,2019,0,0,1,1,1,1,4,2018,2020,3,Pittsburgh,Pennsylvania,USA,Active,https://www.arsenalciderhouse.com/lawrenceville/,https://www.facebook.com/ArsenalCider,https://www.instagram.com/arsenalcider/,https://maps.google.com/?cid=3302243150360255083,https://www.yelp.com/biz/arsenal-cider-house-and-wine-cellar-pittsburgh,https://www.tripadvisor.com/Attraction_Review-g53449-d4558019,https://untappd.com/w/arsenal-cider-house/12282
Meriwether Cider Company,Idaho,2019,0,1,2,0,0,0,3,2019,2024,5,Garden City,Idaho,USA,Active,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316
Chain Yard Cider,Nova Scotia,2019,0,1,0,1,0,1,3,2018,2019,2,Halifax,Nova Scotia,Canada,Active,https://www.chainyardcider.com/,https://www.facebook.com/chainyardcider/,https://www.instagram.com/chainyardcider/,https://maps.google.com/?cid=4454532663694829560,https://www.yelp.com/biz/chain-yard-urban-cidery-halifax,https://www.tripadvisor.com/Restaurant_Review-g154976-d12547718,https://untappd.com/w/chain-yard-urban-cidery/338806
Ragged Hill Cider,Massachusetts,2019,0,1,0,0,0,2,3,2018,2020,3,West Brookfield,Massachusetts,USA,Active,https://www.raggedhillcider.com/,https://www.facebook.com/RaggedHillCider/,https://www.instagram.com/raggedhillcider/,https://maps.google.com/?cid=12743756096350248911,https://www.yelp.com/biz/ragged-hill-orchard-west-brookfield,https://www.tripadvisor.com/Attraction_Review-g41900-d13976564,https://untappd.com/w/ragged-hill-cider-company/339946
Bauman's Cider,Oregon,2019,0,0,1,1,1,0,3,2018,2024,5,Gervais,Oregon,USA,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Rootwood Cider Co.,Washington,2019,0,0,1,0,1,1,3,2018,2024,5,Manson,Washington,USA,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706
Bishop Cider Company,Texas,2019,0,0,0,1,0,2,3,2019,2019,1,Fort Worth,Texas,USA,Active,https://www.bishopcider.com/,https://www.facebook.com/BishopCider,https://www.instagram.com/bishopcider,,,,https://untappd.com/w/bishop-cider-company/144590
Cidrerie Michel Jodoin,Quebec,2019,0,0,0,0,0,3,3,2017,2024,4,Rougemont,Quebec,Canada,Active,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.yelp.com/biz/cidrerie-michel-jodoin-rougemont,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
Diskin Cider,Tennessee,2019,0,0,0,0,0,3,3,2019,2022,3,Nashville,Tennessee,USA,Active,http://www.diskincider.com/,,https://www.instagram.com/diskincider/,https://maps.google.com/?cid=5465208715637137113,,,https://untappd.com/w/diskin-cider/341259
Castle Hill Cider,Virginia,2019,0,1,1,0,0,0,2,2018,2023,5,Keswick,Virginia,USA,Active,http://www.castlehillcider.com/,https://www.facebook.com/CastleHillCider,https://www.instagram.com/castlehillcider/,https://maps.google.com/?cid=4112176064200176389,https://www.yelp.com/biz/castle-hill-cider-keswick,https://www.tripadvisor.com/Attraction_Review-g57873-d2359755,https://untappd.com/w/castle-hill-cider/18303
Portland Cider Company,Oregon,2019,0,1,1,0,0,0,2,2017,2024,7,Clackamas,Oregon,USA,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
Sidra Riestra,Asturias,2019,0,1,1,0,0,0,2,2019,2020,2,Sariego,Asturias,Spain,Active,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,,https://untappd.com/w/riestra/70601
Houston Cider Company,Texas,2019,0,1,0,1,0,0,2,2019,2022,2,Houston,Texas,USA,Active,https://www.houstoncidertx.com/,https://www.facebook.com/houstoncidercompany,https://www.instagram.com/houstoncider/,https://maps.google.com/?cid=9879541345239427997,https://www.yelp.com/biz/town-in-city-brewing-company-houston,https://www.tripadvisor.com/Attraction_Review-g56003-d9609375,https://untappd.com/w/houston-cider-company/300156
Loch Mór Cider Co.,Ontario,2019,0,0,1,1,0,0,2,2019,2022,3,Wellington,Ontario,Canada,Active,https://www.lochmorcider.com/,https://www.facebook.com/lochmorciderco,https://www.instagram.com/lochmorciderco/,https://maps.google.com/?cid=9109460907919194612,https://www.yelp.com/biz/loch-m%C3%B3r-cider-prince-edward,https://www.tripadvisor.com/Attraction_Review-g1772406-d17378409,https://untappd.com/LochMorCiderCo
Liberty Ciderworks,Washington,2019,0,0,1,0,0,1,2,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Liquid Alchemy Beverages,Delaware,2019,0,0,1,0,0,1,2,2019,2024,3,Wilmington,Delaware,USA,Active,https://www.liquidalchemybeverages.com/,https://www.facebook.com/LiquidAlchemyBeverages/,https://www.instagram.com/liquidalchemybeverages,https://maps.google.com/?cid=17392171192902258223,https://www.yelp.com/biz/liquid-alchemy-beverages-wilmington,https://www.tripadvisor.com/Attraction_Review-g34059-d12048635,https://untappd.com/w/liquid-alchemy-beverages/224415
Big B's Hard Cider,Colorado,2019,0,0,0,2,0,0,2,2017,2020,4,Hotchkiss,Colorado,USA,Active,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389
West Avenue Cider,Ontario,2019,0,0,0,2,0,0,2,2017,2019,3,Freelton,Ontario,Canada,Active,https://www.westavenue.ca/,https://www.facebook.com/WestAvenueCider,https://www.instagram.com/westavenuecider/,https://maps.google.com/?cid=2732627738094534556,https://www.yelp.com/biz/west-avenue-cider-house-freelton,https://www.tripadvisor.com/Attraction_Review-g154990-d15192590,https://untappd.com/w/west-avenue-cider/72499
EdenVale Winery,Oregon,2019,0,0,0,1,1,0,2,2017,2020,3,Medford,Oregon,USA,Active,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164
Double Shovel Cider Company,Alaska,2019,0,0,0,0,1,1,2,2019,2019,1,Anchorage,Alaska,USA,Active,http://www.doubleshovelcider.co/,,https://www.instagram.com/doubleshovelciderco/,https://maps.google.com/?cid=610099555034655289,https://www.yelp.com/biz/double-shovel-cider-co-anchorage,,https://untappd.com/w/double-shovel-cider-company/272046
Ironbound Hard Cider,New Jersey,2019,0,0,0,0,0,2,2,2018,2022,3,Asbury,New Jersey,USA,Active,https://www.ironboundhardcider.com/,https://www.facebook.com/ironboundhardcider,https://www.instagram.com/ironboundhardcider,https://maps.google.com/?cid=17370734586891457225,https://www.yelp.com/biz/ironbound-hard-cider-asbury-3,https://www.tripadvisor.com/Attraction_Review-g29747-d16900912,https://untappd.com/w/jersey-cider-works/267396
Square Mile Cider,Oregon,2019,0,0,0,0,0,2,2,2017,2019,3,Portland,Oregon,USA,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094
Eden Ciders,Vermont,2019,0,1,0,0,0,0,1,2017,2024,5,Newport,Vermont,USA,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108
Ramborn Cider Co.,Luxembourg,2019,0,1,0,0,0,0,1,2019,2019,1,Born,Echternach,Luxembourg,Active,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn
Saro Cider,Nebraska,2019,0,1,0,0,0,0,1,2019,2020,2,Lincoln,Nebraska,USA,Active,https://sarocider.com/,https://www.facebook.com/4SaroCider,https://www.instagram.com/sarocider/,https://maps.google.com/?cid=14239117714929818609,https://www.yelp.com/biz/saro-cider-lincoln,https://www.tripadvisor.com/Restaurant_Review-g45667-d15141590,https://untappd.com/w/saro-cider/407311
Val de Rance,Brittany,2019,0,1,0,0,0,0,1,2019,2019,1,Pleudihen-sur-Rance,Brittany,France,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,,https://untappd.com/LesCelliersAssocis
Avid Cider,Oregon,2019,0,0,1,0,0,0,1,2018,2024,4,Bend,Oregon,USA,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739
Blake's Hard Cider Co.,Michigan,2019,0,0,1,0,0,0,1,2017,2024,7,Armada,Michigan,USA,Active,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334
Blue Bee Cider,Virginia,2019,0,0,1,0,0,0,1,2018,2019,2,Richmond,Virginia,USA,Active,https://www.bluebeecider.com/,https://www.facebook.com/BlueBeeCider,https://www.instagram.com/bluebeecider/,https://maps.google.com/?cid=17761175602688407320,https://www.yelp.com/biz/blue-bee-cider-richmond,https://www.tripadvisor.com/Attraction_Review-g60893-d4749979,https://untappd.com/w/blue-bee-cider/62200
Bristols Cider,California,2019,0,0,0,1,0,0,1,2019,2019,1,Atascadero,California,USA,Active,https://www.bristolscider.com/,https://www.facebook.com/BristolsCiderHouse,https://www.instagram.com/bristolsciderhouse,https://maps.google.com/?cid=647885709337219908,https://www.yelp.com/biz/bristols-cider-house-atascadero,https://www.tripadvisor.com/Attraction_Review-g29115-d7181307,https://untappd.com/w/lone-madrone/10325
Cider Riot!,Oregon,2019,0,0,0,1,0,0,1,2017,2019,2,Portland,Oregon,USA,Inactive,,,,,,,
Lassen Traditional Cider,California,2019,0,0,0,1,0,0,1,2019,2019,1,Chico,California,USA,Active,https://www.lassencider.com/,https://www.facebook.com/lassencider/,https://www.instagram.com/lassencider/,https://maps.google.com/?cid=10315637006146688710,,,https://untappd.com/w/lassen-traditional-cidery/297567
Brooks Dry Cider,California,2019,0,0,0,0,1,0,1,2019,2019,1,San Francisco,California,USA,Active,http://www.brooksdrycider.com/,,https://www.instagram.com/brooksdrycider/,,,,https://untappd.com/w/brooks/190902
Brownrigg Hard Cider,Washington,2019,0,0,0,0,1,0,1,2018,2019,2,Seattle,Washington,USA,Inactive,,,,,,,
Courthouse Creek Cider,Virginia,2019,0,0,0,0,1,0,1,2019,2019,1,Maidens,Virginia,USA,Active,http://courthousecreek.com/,https://www.facebook.com/CourthouseCreek,https://www.instagram.com/courthousecreekcider/,https://maps.google.com/?cid=14539258264651566085,https://www.yelp.com/biz/courthouse-creek-cider-maidens,https://www.tripadvisor.com/Attraction_Review-g57926-d12600269,https://untappd.com/w/courthouse-creek/281776
Cyderish,Oregon,2019,0,0,0,0,1,0,1,2019,2019,1,Eugene,Oregon,USA,Inactive,,,,,,,
Gypsy Circus,Tennessee,2019,0,0,0,0,1,0,1,2017,2022,3,Kingsport,Tennessee,USA,Active,https://gypsycircuscider.com/,https://www.facebook.com/GypsyCircusCider/,https://www.instagram.com/gypsycircuscider/,https://maps.google.com/?cid=4520512866262691085,https://www.yelp.com/biz/gypsy-circus-taproom-kingsport,https://www.tripadvisor.com/Attraction_Review-g55135-d12818214,https://untappd.com/w/gypsy-circus-cider-company/226304
Herb's Cider,Washington,2019,0,0,0,0,1,0,1,2019,2020,2,Bellingham,Washington,USA,Inactive,,,,,,,
North Canyon Cider Company,California,2019,0,0,0,0,1,0,1,2019,2024,5,Camino,California,USA,Active,http://northcanyoncider.com/,https://www.facebook.com/NorthCanyonCiderCo,https://www.instagram.com/NorthCanyonCider,https://maps.google.com/?cid=15474272377040798709,https://www.yelp.com/biz/north-canyon-cider-company-camino-2,,https://untappd.com/w/north-canyon-cider-co/366979
Windfall Cider,British Columbia,2019,0,0,0,0,1,0,1,2019,2019,1,Vancouver,British Columbia,Canada,Active,https://windfallcider.ca/,https://www.facebook.com/windfallcidercompany,https://www.instagram.com/windfallcider/,https://maps.google.com/?cid=11000972800697075085,https://www.yelp.com/biz/windfall-cider-north-vancouver,,https://untappd.com/w/windfall-cider/391727
1911 Established,New York,2019,0,0,0,0,0,1,1,2019,2024,5,Marietta,New York,USA,Active,http://1911established.com/,,https://www.instagram.com/1911established/,https://maps.google.com/?cid=13706571465768596510,https://www.yelp.com/biz/beak-and-skiff-apple-orchards-lafayette,https://www.tripadvisor.com/Attraction_Review-g48013-d4954731,https://untappd.com/w/beak-and-skiff-apple-orchards/123121
Alter Ego Cider,Oregon,2019,0,0,0,0,0,1,1,2019,2019,1,Portland,Oregon,USA,Inactive,,,,,,,
Big Fish Cider Co.,Virginia,2019,0,0,0,0,0,1,1,2019,2019,1,Monterey,Virginia,USA,Active,http://www.bigfishcider.com/,https://www.facebook.com/BigFishCider/,https://www.instagram.com/big_fish_cider/,https://maps.google.com/?cid=10686446551531832863,https://www.yelp.com/biz/big-fish-cider-monterey,https://www.tripadvisor.com/Attraction_Review-g57982-d10413095,https://untappd.com/w/big-fish-cider-co/202963
