Medalist,Department,🥇 Or,🥈 Argent,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Ferme Cidricole Desvoye,Calvados,3,1,4,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267
Le Pressoir d'Or,Eure,0,4,4,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218
Famille Guesdon,Manche,2,1,3,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009
Cidre Viard-Bayeux,Calvados,1,2,3,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008
Ferme du Manoir du Val,Eure,1,2,3,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,
Les Vergers de Ducy,Calvados,1,2,3,https://lesvergersdeducy.fr/,https://www.facebook.com/LesVergersdeDucy/,,https://maps.google.com/?cid=5658619103463764772,https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299,https://untappd.com/w/les-vergers-de-ducy/68480
Pacory,Orne,0,3,3,https://www.pacory.eu/,https://www.facebook.com/PacoryFermedesGrimaux,https://www.instagram.com/pacoryfermedesgrimaux,https://maps.google.com/?cid=15821520734729613945,,https://untappd.com/brewery/32360
Domaine des Hauts-Vents,Eure,1,1,2,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064
Domaine Duclos Fougeray,Seine-Maritime,1,1,2,https://www.duclosfougeray.com/,https://www.facebook.com/domaine.duclosfougeray,https://www.instagram.com/domaine_duclos_fougeray/,https://maps.google.com/?cid=12398185041013701779,,https://untappd.com/brewery/103532
Ferme des Noës,Eure,1,1,2,https://www.fermedesnoes.com/,,https://www.instagram.com/fermedesnoes/,https://maps.google.com/?cid=16067236232754040277,,https://untappd.com/w/ferme-des-no-s/72679
Ferme Marcotte,Seine-Maritime,1,1,2,http://marcotte.coop/,https://www.facebook.com/profile.php?id=100057365473102,,https://maps.google.com/?cid=15515441844251158681,,https://untappd.com/w/ferme-cooperative-marcotte/466175
Zathinoé,Calvados,1,1,2,https://zathinoe.fr/,,,https://maps.google.com/?cid=2359582709656446462,,https://untappd.com/w/zathinoe/452758
Cidrerie Claids,Manche,0,2,2,https://www.cidrerieclaids.fr/,https://www.facebook.com/cidrerieclaids/,https://www.instagram.com/cidrerieclaids/,https://maps.google.com/?cid=16896075272570280949,,https://untappd.com/w/cidrerie-claids/541066
Domaine de la Galotière,Orne,0,2,2,https://www.lagalotiere.fr/,https://www.facebook.com/lagalotiere,,https://maps.google.com/?cid=3334578271943351430,https://www.tripadvisor.com/Attraction_Review-g608796-d12550194,https://untappd.com/w/domaine-de-la-galotiere/38855
