Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Empyrical Orchard & Cidery,Washington,0,0,2,2,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102
Rootwood Cider Company,Washington,1,0,0,1,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706
Runcible Cider Company,Oregon,1,0,0,1,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214
Swift Cider,Oregon,1,0,0,1,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445
Union Hill Cider Co.,Washington,1,0,0,1,https://www.unionhillciderco.com/,https://www.facebook.com/UnionHillCiderCo/,https://www.instagram.com/unionhillciderco/,https://maps.google.com/?cid=15999164221517255413,https://www.yelp.com/biz/union-hill-cider-east-wenatchee,,https://untappd.com/UnionHillCiderCo
Victoria Cider Co,British Columbia,1,0,0,1,https://www.victoriaciderco.ca/,https://www.facebook.com/victoriaciderco,https://www.instagram.com/victoriaciderco/,https://maps.google.com/?cid=4973668223480997484,https://www.yelp.ca/biz/victoria-cider-north-saanich,https://www.tripadvisor.com/Attraction_Review-g154945-d24170707,https://untappd.com/w/victoria-cider-co/523117
19 Acres Cider Co.,Oregon,0,1,0,1,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider
Double Mountain Brewery & Cidery,Oregon,0,1,0,1,http://www.doublemountainbrewery.com/,https://www.facebook.com/doublemountainbrewery,https://www.instagram.com/doublemountain,https://maps.google.com/?cid=2446696276607943242,https://www.yelp.com/biz/double-mountain-brewery-hood-river,https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972,https://untappd.com/w/double-mountain-brewery-taproom/462
Finnriver Farm & Cidery,Washington,0,1,0,1,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Heartland Ciderworks,Oregon,0,1,0,1,,https://www.facebook.com/HeartlandCiderworks,https://www.instagram.com/heartland_ciderworks/,,,,https://untappd.com/HeartlandCiderworks
Kristof Farms,Oregon,0,1,0,1,https://www.kristoffarms.com/,https://www.facebook.com/KristofFarms/,https://www.instagram.com/kristoffarms/,,,,https://untappd.com/w/kristof-farms/524122
Highpoint Cider,Idaho,0,0,1,1,https://highpointcider.com/,https://www.facebook.com/Highpointcider/,https://www.instagram.com/highpointcider/,https://maps.google.com/?cid=12149721453883945516,,,https://untappd.com/Highpoint_Cider
Incline Cider Company,Washington,0,0,1,1,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584
Shuswap Cider Company,British Columbia,0,0,1,1,https://shuswapcider.com/,https://www.facebook.com/shuswapcider,https://www.instagram.com/shuswapcider/,https://maps.google.com/?cid=7673276959575565826,,,https://untappd.com/w/shuswap-cider-co/503328
Total,,18,17,16,51,,,,,,,
