Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Bilpin Cider,New South Wales,2,3,35,40,2013,2024,10,Active,Australia,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
Core Cider,Western Australia,5,11,19,35,2011,2022,11,Active,Australia,"<a href=""https://corecider.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/The-CORE-Cider-House/193269374050973"">Facebook</a>","<a href=""https://www.instagram.com/coreciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9482101079872958147"">Google</a>","<a href=""https://www.yelp.com/biz/core-cider-pickering-brook-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g804216-d3191966"">TripAdvisor</a>","<a href=""https://untappd.com/w/core-cider-house/90179"">Untappd</a>"
Frank's Cider,Tasmania,1,6,25,32,2012,2024,11,Active,Australia,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
Barossa Cider Co.,South Australia,5,13,10,28,2013,2024,11,Active,Australia,"<a href=""https://barossavalleyciderco.com/"">Website</a>","<a href=""https://www.facebook.com/barossacider/"">Facebook</a>","<a href=""https://www.instagram.com/barossacider.co/"">Instagram</a>",,,,"<a href=""https://untappd.com/TheBarossaValleyCiderCo"">Untappd</a>"
St Ronan's Cider,Victoria,5,11,11,27,2012,2024,12,Active,Australia,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
The Apple Thief,New South Wales,1,4,22,27,2013,2024,9,Active,Australia,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
Kangaroo Island Ciders,South Australia,2,14,10,26,2012,2024,11,Active,Australia,"<a href=""https://www.kangarooislandciders.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7120331639179318476"">Google</a>",,,"<a href=""https://untappd.com/w/kangaroo-island-ciders/62318"">Untappd</a>"
Sydney Brewery,New South Wales,2,6,17,25,2015,2024,9,Active,Australia,"<a href=""https://sydneybrewery.com/"">Website</a>","<a href=""https://www.facebook.com/SydneyBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/sydneybrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6674617705014025022"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g23197656-d15602287"">TripAdvisor</a>","<a href=""https://untappd.com/SydneyBrewhouse"">Untappd</a>"
Westons Cider,Herefordshire,3,3,18,24,2012,2018,5,Active,England,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
Funk Cider,Western Australia,1,7,14,22,2017,2024,7,Active,Australia,"<a href=""https://funkdrinks.co/"">Website</a>","<a href=""https://www.facebook.com/funkdrinksco"">Facebook</a>","<a href=""https://www.instagram.com/funkdrinksco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12976653066917509642"">Google</a>",,,"<a href=""https://untappd.com/FunkCider"">Untappd</a>"
Plenty Cider,Tasmania,7,3,10,20,2021,2024,4,Active,Australia,"<a href=""https://www.plentycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/plentycider/"">Facebook</a>","<a href=""https://www.instagram.com/plentycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=108618394510087143"">Google</a>",,,"<a href=""https://untappd.com/w/plenty-cider/454183"">Untappd</a>"
Seven Oaks Farmhouse Cider,Victoria,---,5,14,19,2014,2022,6,Active,Australia,"<a href=""https://www.sevenoakscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/sevenoakscider/"">Facebook</a>","<a href=""https://www.instagram.com/sevenoaksfarmhouse"">Instagram</a>","<a href=""https://maps.google.com/?cid=8084176422687381883"">Google</a>",,,"<a href=""https://untappd.com/w/seven-oaks-farmhouse-cider/17183"">Untappd</a>"
Cheeky Grog Co,Victoria,---,3,16,19,2015,2021,6,Active,Australia,"<a href=""https://cheekygrogco.com/"">Website</a>","<a href=""https://www.facebook.com/cheekygrogco"">Facebook</a>","<a href=""https://www.instagram.com/cheekygrogco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18312852297094426661"">Google</a>","<a href=""https://www.yelp.com/biz/cheeky-grog-co-bunbartha"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12263922-d10807488"">TripAdvisor</a>","<a href=""https://untappd.com/w/cheeky-grog-co/247399"">Untappd</a>"
Sidewood Estate,South Australia,2,3,13,18,2015,2024,8,Active,Australia,"<a href=""https://sidewood.com.au/"">Website</a>","<a href=""https://www.facebook.com/SidewoodEstate/"">Facebook</a>","<a href=""https://www.instagram.com/sidewoodestate/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16006910239256404559"">Google</a>",,"<a href=""https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidewood-estate/118552"">Untappd</a>"
Incy Wincy Cyder,New South Wales,3,2,12,17,2018,2024,6,Active,Australia,"<a href=""https://www.incywincycyder.com/"">Website</a>","<a href=""https://www.facebook.com/incywincycyder/"">Facebook</a>","<a href=""https://www.instagram.com/incywincycyder_orange"">Instagram</a>",,,,"<a href=""https://untappd.com/w/incy-wincy-cyder/413318"">Untappd</a>"
Brady's Lookout Cider,Tasmania,---,10,7,17,2016,2024,7,Active,Australia,"<a href=""https://www.bradyslookoutcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/bradyslookoutcider"">Facebook</a>","<a href=""https://www.instagram.com/bradys_lookout_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17861747211596541785"">Google</a>",,,"<a href=""https://untappd.com/w/brady-s-lookout/225207"">Untappd</a>"
Harcourt Perry & Cider Makers,Victoria,---,2,15,17,2015,2022,6,Active,Australia,"<a href=""https://harcourtcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HarcourtCider/"">Facebook</a>","<a href=""https://www.instagram.com/harcourtcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8775592475109844928"">Google</a>",,,"<a href=""https://untappd.com/w/harcourt-perry-cider-makers/429734"">Untappd</a>"
Mock Red Hill,Victoria,---,5,11,16,2014,2023,9,Active,Australia,"<a href=""https://www.mockredhill.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Mock-Red-Hill/181240308586996"">Facebook</a>","<a href=""https://www.instagram.com/mockredhill/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10552205982251777171"">Google</a>","<a href=""https://www.yelp.com/biz/mock-orchards-red-hill"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552249-d9793363"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/28770"">Untappd</a>"
Lenswood Cider Co.,South Australia,2,2,10,14,2021,2024,4,Active,Australia,"<a href=""https://www.lenswoodciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/lenswoodciderco"">Facebook</a>","<a href=""https://www.instagram.com/lenswoodciderco/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/lenswood-cider-co/472218"">Untappd</a>"
