Medalist,Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Sidra do Massa,Portugal,0,0,2,0,2,2023,2024,2,Active,,,https://www.instagram.com/sidradomassa/,,,https://untappd.com/w/sidra-do-massa/550299,32.725544,-16.8280577,0
Szczepanówka,Poland,0,0,2,0,2,2019,2020,2,Active,https://szczepanowka.pl/,https://www.facebook.com/szczepanowka/,https://www.instagram.com/szczepanowka/,https://maps.google.com/?cid=11891178280401586186,,https://untappd.com/w/szczepanowka/297101,51.2456524,22.6756611,0
Templars Cider,France,0,0,2,0,2,2020,2020,1,Active,https://www.templarscider.co.uk/,https://www.facebook.com/blandscider/,https://www.instagram.com/templarscider/,https://maps.google.com/?cid=14287903066290051914,,,48.945138,0.199086,0
Andersen Winery,Denmark,0,0,1,1,2,2017,2020,2,Active,https://andersenwinery.dk/,https://www.facebook.com/andersenwinery,https://www.instagram.com/andersenwinery/,https://maps.google.com/?cid=1091487036715359602,https://www.tripadvisor.com/Attraction_Review-g1699896-d20578301,https://untappd.com/w/andersen-winery/508619,56.242291,10.4941277,0
Berryland,Ukraine,0,0,1,1,2,2021,2021,1,Inactive,,,,,,,50.46534,30.3545682,1
Frux Solis,Poland,0,0,1,1,2,2019,2020,2,Active,https://frux-solis.pl/,https://www.facebook.com/fruxsolis/,,https://maps.google.com/?cid=13443134445458550426,,https://untappd.com/w/frux-solis/297064,51.013076,22.0405142,0
Kolowratovy Sady,Czechia,0,0,1,1,2,2019,2020,2,Active,https://kolowratovysady.cz/,https://www.facebook.com/kolowratovysady,https://www.instagram.com/kolowratovysady,https://maps.google.com/?cid=9866057086722481963,,https://untappd.com/Kolowratovysady,49.6844327,12.7029272,0
Opre',Slovakia,0,0,1,1,2,2021,2023,2,Active,https://www.opre.sk/,https://www.facebook.com/oprecider,https://www.instagram.com/oprecider/,https://maps.google.com/?cid=12156398933247073454,,https://untappd.com/Opre,48.684871,21.2832467,0
První Prajzské,Czechia,0,0,1,1,2,2020,2020,1,Active,https://prvni-prajzske.webnode.cz/,https://www.facebook.com/prvniprajzske/,,,,https://untappd.com/w/ciderie-prvni-prajzske/440469,49.9897872,17.9527434,0
Romaria,Portugal,0,0,1,1,2,2023,2023,1,Active,,,,,,https://untappd.com/w/herdade-do-pereira/538761,32.6704947,-16.9150042,0
Somerset Cider Brandy & Burrow Hill Cider,England,0,0,1,1,2,2017,2017,1,Active,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566,50.9761647,-2.8350436,0
Hogan's Cider,England,0,0,0,2,2,2018,2018,1,Active,https://www.hoganscider.co.uk/,https://www.facebook.com/HogansCider/,https://www.instagram.com/hoganscider/,https://maps.google.com/?cid=344551779062280462,,https://untappd.com/brewery/27309,52.2205461,-1.8336097,0
Iturrieta Sagardotegia,Basque Country,1,0,0,0,1,2022,2022,1,Active,https://www.iturrieta.eus/,https://www.facebook.com/IturrietaSagardotegia,https://www.instagram.com/iturrietasagardotegia/,https://maps.google.com/?cid=10787365248481309248,https://www.tripadvisor.com/Restaurant_Review-g21298255-d9790244,https://untappd.com/w/juan-jose-pecina/432334,43.0522344,-2.5751327,0
Pedro El Duque,Asturias,1,0,0,0,1,2020,2020,1,Inactive,,,,,,,,,1
Cydr Ignaców,Poland,0,1,0,0,1,2016,2016,1,Active,http://www.cydrignacow.pl/,https://www.facebook.com/CydrIgnacow,https://www.instagram.com/cydr_ignacow/,,,https://untappd.com/w/cydr-ignacow/146987,51.372867,17.868255,0
El Molín del Nora,Asturias,0,1,0,0,1,2017,2017,1,Inactive,,,,,,,43.39111998,-5.717718619,1
Landsteiner Mühle,Germany,0,1,0,0,1,2013,2013,1,Inactive,,,,,,,50.3072389,8.4299933,1
Magic Apple,Czechia,0,1,0,0,1,2015,2015,1,Inactive,,,,,,,49.6745597,16.9635359,1
Pivovar Steiger,Slovakia,0,1,0,0,1,2014,2014,1,Inactive,,,,,,,48.5076438,18.7824741,1
Sidra El Gobernador,Asturias,0,1,0,0,1,2013,2013,1,Active,https://martinezsopenahermanos.com/,,https://www.instagram.com/sidraelgobernador/,https://maps.google.com/?cid=16311632506815681967,,https://untappd.com/w/sidra-el-gobernador/55772,43.5193518,-5.4402059,0
Sidra Somarroza,Cantabria,0,1,0,0,1,2016,2016,1,Active,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,https://untappd.com/w/somarroza/147830,43.3529633,-3.9604843,0
Sxollie,England,0,1,0,0,1,2017,2017,1,Active,https://sxollie.com/,https://www.facebook.com/sxollie/,https://www.instagram.com/sxolliexider/,https://maps.google.com/?cid=10777151726289454626,,https://untappd.com/SXOLLIELOVER,51.5142422,-0.3050244,0
The Pippa,Asturias,0,1,0,0,1,2018,2018,1,Inactive,,,,,,,,,1
Topa Cidre,Basque Country,0,1,0,0,1,2018,2018,1,Active,https://www.topa-cidre.com/,https://www.facebook.com/topacidre/,https://www.instagram.com/topa.cidre/,https://maps.google.com/?cid=10484194815167161209,,https://untappd.com/w/topa-cidre/396064,43.4302923,-1.5726717,0
Vinos Tendal,Canary Islands,0,1,0,0,1,2024,2024,1,Active,https://vinostendal.com/,https://www.facebook.com/vinostendal/,https://www.instagram.com/vinostendal/,https://maps.google.com/?cid=12649281777724932562,,,28.7427039,-17.9692345,0
Æblerov,Denmark,0,0,1,0,1,2021,2021,1,Active,https://www.aeblerov.com/,https://www.facebook.com/aeblerov,https://www.instagram.com/aeblerov_cider/,https://maps.google.com/?cid=13343568507198535456,,https://untappd.com/Aeblerov,55.7191751,11.4550882,0
Angry Orchard,United States,0,0,1,0,1,2017,2017,1,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
Araújo Monte,Portugal,0,0,1,0,1,2016,2016,1,Inactive,,,,,,,41.7807911,-8.6408923,1
Astarbe,Basque Country,0,0,1,0,1,2014,2014,1,Active,https://www.astarbe.eus/,https://www.facebook.com/AstarbeSagar,https://www.instagram.com/astarbesagar/,https://maps.google.com/?cid=4931185880912606614,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3250869,https://untappd.com/w/sidreria-astarbe-sagardotegia/40068,43.2840361,-1.9454688,0
Bacha! Cidre,Czechia,0,0,1,0,1,2020,2020,1,Active,http://cidrebach.cz/,https://www.facebook.com/bachacidre/,https://www.instagram.com/bachacidre,https://maps.google.com/?cid=11982087198368302725,,https://untappd.com/BACHAcidre,50.4584975,14.6697377,0
Bembel With Care,Germany,0,0,1,0,1,2022,2022,1,Active,https://bembel-with-care.com/,https://www.facebook.com/bembel.with.care,https://www.instagram.com/bembel.with.care/,,,https://untappd.com/bembelwithcare,49.6472541,8.6844034,0
Cidre99,Czechia,0,0,1,0,1,2020,2020,1,Active,http://www.cidre99.cz/,https://www.facebook.com/cidre99/,https://www.instagram.com/cidre99/,,,https://untappd.com/w/cidre99/278367,49.1901854,17.2929807,0
Cotswold Cider Company,England,0,0,1,0,1,2015,2015,1,Active,https://www.cotswoldciderco.com/,https://www.facebook.com/CotswoldCiderCompany,https://www.instagram.com/cotswoldciderco/,,,https://untappd.com/TheCotswoldCiderCompany,51.650203,-1.5959266,0
Cydr Starków,Poland,0,0,1,0,1,2024,2024,1,Active,,https://www.facebook.com/profile.php?id=61565372395211,,,,,50.3697009,16.5784049,0
Kühbrein Most,Austria,0,0,1,0,1,2022,2022,1,Active,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089,47.2673244,14.7332229,0
Les Vergers de Kermao,France,0,0,1,0,1,2020,2020,1,Active,https://www.cidre-bretagne.com/,,https://www.instagram.com/kermao.cidre/,https://maps.google.com/?cid=11761800243914556755,https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735,https://untappd.com/w/les-vergers-de-kermao/240565,47.921861,-4.08808,0
RAW Cider Co.,United States,0,0,1,0,1,2022,2022,1,Active,https://rawcider.com/,https://www.facebook.com/RAWciderco,https://www.instagram.com/rawcider,https://maps.google.com/?cid=14719415897364830707,,https://untappd.com/Raw_Cider_Co,45.2418018,-123.0575241,0
Thatchers Cider,England,0,0,1,0,1,2015,2015,1,Active,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779,0
Cidrerie et Distillerie Pelletier,France,0,0,0,1,1,2021,2021,1,Active,https://www.cidreriedistilleriepelletiersarthe.com/,https://www.facebook.com/cidreriedistilleriepelletier,,https://maps.google.com/?cid=2254638142913788190,,,47.8555926,0.7554413,0
Cydr Opoczka,Poland,0,0,0,1,1,2020,2020,1,Inactive,,,,,,,50.8810086,21.8421513,1
Czar Czerniejowa,Poland,0,0,0,1,1,2020,2020,1,Inactive,,,,,,,51.4598694,22.6094606,1
Doggerland Craft Cider,Netherlands,0,0,0,1,1,2021,2021,1,Active,https://doggerlandcider.nl/,https://www.facebook.com/doggerlandcider/,https://www.instagram.com/doggerlandcider/,,,https://untappd.com/DoggerlandCraftCider,53.177204,6.6032583,0
El Piloñu,Asturias,0,0,0,1,1,2023,2023,1,Active,,,,https://maps.google.com/?cid=16273384405779146543,,https://untappd.com/w/el-pilo-u/398962,43.3570431,-5.5118313,0
Herbsts,Latvia,0,0,0,1,1,2023,2023,1,Active,https://herbsts.lv/,https://www.facebook.com/herbsts.sidrs/,https://www.instagram.com/herbsts.sidrs/,,,https://untappd.com/HERBSTS,56.3690897,21.6010042,0
Israel Hernández del Valle,Canary Islands,0,0,0,1,1,2024,2024,1,Active,,,,,,,,,0
Magritte Cider,Chile,0,0,0,1,1,2023,2023,1,Active,https://magrittecider.com/,,https://www.instagram.com/magrittecider,,,https://untappd.com/w/magritte/553144,-39.1730626,-72.192897,0
Ola,Basque Country,0,0,0,1,1,2022,2022,1,Active,https://olasagardotegia.eus/,https://www.facebook.com/OlaSagardotegia,https://www.instagram.com/ola_sagardotegia/,https://maps.google.com/?cid=18333402095066981603,https://www.tripadvisor.com/Restaurant_Review-g227872-d8059391,https://untappd.com/w/ola-sagardotegia/199980,43.322706,-1.775787,0
Ottercider,Belgium,0,0,0,1,1,2023,2023,1,Active,https://www.ottercider.be/,https://www.facebook.com/Ottercider,https://www.instagram.com/ottercider,,,https://untappd.com/Ottercider,51.2025375,4.3204478,0
Pom Sidro Creativo,Italy,0,0,0,1,1,2021,2021,1,Active,https://www.sidropom.com/,https://www.facebook.com/profile.php?id=100069003333725,https://www.instagram.com/sidropom/,https://maps.google.com/?cid=17454691130515952955,,https://untappd.com/w/pom-sidro-creativo/514926,44.9592134,7.5132075,0
Sidra Fierro,Canary Islands,0,0,0,1,1,2024,2024,1,Active,,,https://www.instagram.com/sidrafierro/,https://maps.google.com/?cid=15846866027109025161,,,28.029611,-15.5716953,0
Sidro Vittoria,Italy,0,0,0,1,1,2020,2020,1,Active,https://www.sidrovittoria.com/,https://www.facebook.com/sidrovittoria/,,https://maps.google.com/?cid=10506737947463237390,,https://untappd.com/w/sidro-vittoria/481486,46.4977453,12.4787894,0
Son of Man,United States,0,0,0,1,1,2022,2022,1,Active,https://www.sonofman.co/,,https://www.instagram.com/sonofman.co/,,,https://untappd.com/w/son-of-man-sagardo/428029,45.68249,-121.8628333,0
The Drunken Pharmacist,Madeira,0,0,0,1,1,2024,2024,1,Active,,https://www.facebook.com/profile.php?id=100093795090507,https://www.instagram.com/thedrunkenpharmacist_/,,,https://untappd.com/w/the-drunken-pharmacist/543354,32.688348,-16.7992719,0
Valduro,Asturias,0,0,0,1,1,2016,2016,1,Inactive,,,,,,,43.5247676,-7.0277708,1
