ID,WID,Year,Style,Medalist,Entry,Region,Award,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Status
92,585,2017,Hopped Cider,Square Mile Cider,Hopped Apple Cider,Oregon,🥇 Gold,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,Active
93,585,2017,Spiced/Herbed Cider,Square Mile Cider,Ginger Pear Apple Cider,Oregon,🥇 Gold,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,Active
94,612,2017,Wood/Oaked Cider,Swift Cider,Peach Oak,Oregon,🥇 Gold,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
95,67,2017,Fruit Cider,2 Towns Ciderhouse,Flight Of The Kiwi,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
96,998,2017,Modern Perry,EdenVale Winery,Eden Valley Orchards Pear House Cider,Oregon,🥇 Gold,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164,Active
97,451,2017,Modern Dry Cider,North Idaho Cider,North Idaho Fresh Apple,Idaho,🥈 Silver,,,,,,,,Inactive
98,85,2017,Modern Sweet Cider,Alter Ego Cider,The Brute,Oregon,🥈 Silver,,,,,,,,Inactive
99,387,2017,Heritage Dry Cider,Liberty Ciderworks,Columbia Crab SV,Washington,🥈 Silver,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,Active
100,428,2017,Heritage Sweet Cider,Montana CiderWorks,Darby Pub Cider,Montana,🥈 Silver,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
101,84,2017,English Dry Cider,Alpenfire Cider,Pirate’s Plank,Washington,🥈 Silver,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510,Active
102,612,2017,Hopped Cider,Swift Cider,Golden Equinox,Oregon,🥈 Silver,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
103,67,2017,Wild/Non-Sac Cider,2 Towns Ciderhouse,La Mure,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
104,863,2017,Spiced/Herbed Cider,Wards Cider,Wards Ginger Apple Cider,British Columbia,🥈 Silver,https://www.wardshardcider.com/,https://www.facebook.com/WardsHardAppleCider/,https://www.instagram.com/WardsCidery/,https://maps.google.com/?cid=16878260899987568393,https://www.yelp.com/biz/the-view-winery-and-vineyard-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d3547867,https://untappd.com/w/wards-cidery/134573,Active
105,276,2017,Wood/Oaked Cider,Finnriver Farm & Cidery,Firebarrel Cider,Washington,🥈 Silver,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
106,118,2017,Fruit Cider,Bauman's Cider,Peach Raspberry,Oregon,🥈 Silver,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
107,635,2017,Modern Perry,Tieton Cider Works,Perry,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
108,828,2017,Modern Dry Cider,Scenic Road Cider Co.,Nearly Dry,British Columbia,🥉 Bronze,https://scenicroadcider.com/,https://www.facebook.com/scenicroadcider/,https://www.instagram.com/scenicroadcider/,https://maps.google.com/?cid=1733637164282947547,https://www.yelp.com/biz/scenic-road-cider-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d12829198,https://untappd.com/w/scenic-road-cider-co/271530,Active
109,490,2017,Modern Sweet Cider,Portland Cider Company,Apple,Oregon,🥉 Bronze,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,Active
110,828,2017,Heritage Dry Cider,Scenic Road Cider Co.,Dry,British Columbia,🥉 Bronze,https://scenicroadcider.com/,https://www.facebook.com/scenicroadcider/,https://www.instagram.com/scenicroadcider/,https://maps.google.com/?cid=1733637164282947547,https://www.yelp.com/biz/scenic-road-cider-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d12829198,https://untappd.com/w/scenic-road-cider-co/271530,Active
111,387,2017,English Dry Cider,Liberty Ciderworks,Porter’s Perfection SV,Washington,🥉 Bronze,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,Active
112,635,2017,English Sweet Cider,Tieton Cider Works,Wild Washington,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
113,688,2017,French Cider,WildCraft Cider Works,Spring Traditional Keeved,Oregon,🥉 Bronze,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780,Active
114,67,2017,Hopped Cider,2 Towns Ciderhouse,Hop & Stalk,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
115,2119,2017,Spiced/Herbed Cider,La Familia Cider,Jamaica – Hibiscus,Oregon,🥉 Bronze,https://lafamiliacider.com/,https://www.facebook.com/lafamiliacider/,https://www.instagram.com/lafamiliacider/,https://maps.google.com/?cid=3685332940132306085,https://www.yelp.com/biz/la-familia-cider-salem,https://www.tripadvisor.com/Restaurant_Review-g52053-d23878155,https://untappd.com/LaFamiliaCider,Active
116,92,2017,Wood/Oaked Cider,Apple Outlaw,Heritage,Oregon,🥉 Bronze,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265,Active
117,67,2017,Fruit Cider,2 Towns Ciderhouse,Prickle Me Pink,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
118,67,2017,Specialty Cider,2 Towns Ciderhouse,6th Anniversary,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
119,276,2017,Modern Perry,Finnriver Farm & Cidery,Perry,Washington,🥉 Bronze,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
120,612,2018,Fruit – Cane Fruit,Swift Cider,Marionberry,Oregon,🥇 Gold,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
121,118,2018,Fruit – Cane Fruit,Bauman's Cider,Loganberry,Oregon,🥈 Silver,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
122,553,2018,Fruit – Cane Fruit,Seattle Cider Company,Berry Rosé,Washington,🥉 Bronze,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,Active
123,2209,2018,Fruit – Other Fruit,Draper Girls Cider Co.,Aronia Berry,Oregon,🥇 Gold,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577,Active
124,451,2018,Fruit – Other Fruit,North Idaho Cider,Berry Eclipse,Idaho,🥈 Silver,,,,,,,,Inactive
125,67,2018,Fruit – Other Fruit,2 Towns Ciderhouse,Rhubarbarian,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
126,496,2018,Fruit – Stone Fruit,Rack & Cloth,Pêche,Oregon,🥇 Gold,,,,,,,,Inactive
127,67,2018,Fruit – Stone Fruit,2 Towns Ciderhouse,Cot in the Act,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
128,67,2018,Fruit – Stone Fruit,2 Towns Ciderhouse,Man Gogh,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
129,635,2018,Fruit – Cherry,Tieton Cider Works,Cherry Cider,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
130,2209,2018,Fruit – Pear,Draper Girls Cider Co.,French Pear,Oregon,🥈 Silver,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577,Active
131,585,2018,Hopped,Square Mile Cider,Hopped Apple Cider,Oregon,🥇 Gold,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,Active
132,612,2018,Hopped,Swift Cider,Pineapple Hop,Oregon,🥈 Silver,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
133,530,2018,Hopped,Rootwood Cider Co.,Hop Infused,Washington,🥉 Bronze,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706,Active
134,67,2018,Spiced/Herbed,2 Towns Ciderhouse,Nice & Naughty,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
135,192,2018,Spiced/Herbed,Chatter Creek Winery,Chatter Creek Cider,Washington,🥈 Silver,,,,,,,,Inactive
136,649,2018,Spiced/Herbed,Tumalo Cider,Thai Citrus,Oregon,🥉 Bronze,http://www.tumalocider.com/,https://www.facebook.com/tumalocider/,https://www.instagram.com/tumalocider/,https://maps.google.com/?cid=522863006020173702,https://www.yelp.com/biz/tumalo-cider-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d19974086,https://untappd.com/w/tumalo-cider-co/276596,Active
137,387,2018,Wood/Oaked,Liberty Ciderworks,Stonewall Barrel-Aged Cider,Washington,🥈 Silver,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,Active
138,490,2018,Wood/Oaked,Portland Cider Company,Blackberry Pinot,Oregon,🥉 Bronze,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,Active
139,257,2018,Perry – Modern,Elk Horn Brewery & Ciderhouse,Very Perry,Oregon,🥇 Gold,http://www.elkhornbrewery.com/,https://www.facebook.com/elkhornbrewery/,https://www.instagram.com/elk_horn_brewery/,https://maps.google.com/?cid=3806213339852533020,https://www.yelp.com/biz/elk-horn-brewery-eugene-7,https://www.tripadvisor.com/Restaurant_Review-g51862-d7099011,https://untappd.com/w/elk-horn-brewery-and-ciderhouse/153381,Active
140,998,2018,Perry – Modern,EdenVale Winery,Pear House Cider,Oregon,🥈 Silver,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164,Active
141,490,2018,Perry – Modern,Portland Cider Company,Perfect Perry,Oregon,🥉 Bronze,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,Active
142,244,2018,Perry – Traditional,Dragon's Head Cider,Perry,Washington,🥇 Gold,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168,Active
143,181,2018,Perry – Traditional,Slake Cider,French Lane Perry,Oregon,🥈 Silver,,,,,,,,Inactive
144,67,2018,Modern Dry,2 Towns Ciderhouse,BrightCider,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
145,676,2018,Modern Dry,Western Cider,McIntosh 2017,Montana,🥈 Silver,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334,Active
146,612,2018,Modern Dry,Swift Cider,Hard Apple,Oregon,🥉 Bronze,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
147,490,2018,Modern Sweet,Portland Cider Company,Sorta Sweet,Oregon,🥇 Gold,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,Active
148,67,2018,Modern Sweet,2 Towns Ciderhouse,OutCider,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
149,428,2018,Modern Sweet,Montana CiderWorks,McIntosh,Montana,🥉 Bronze,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
150,387,2018,Specialty,Liberty Ciderworks,Manchurian Crabapple SV,Washington,🥇 Gold,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,Active
151,570,2018,Specialty,Snowdrift Cider Co.,Red Cider,Washington,🥈 Silver,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,Active
152,257,2018,Specialty,Elk Horn Brewery & Ciderhouse,Grape Perry,Oregon,🥉 Bronze,http://www.elkhornbrewery.com/,https://www.facebook.com/elkhornbrewery/,https://www.instagram.com/elk_horn_brewery/,https://maps.google.com/?cid=3806213339852533020,https://www.yelp.com/biz/elk-horn-brewery-eugene-7,https://www.tripadvisor.com/Restaurant_Review-g51862-d7099011,https://untappd.com/w/elk-horn-brewery-and-ciderhouse/153381,Active
153,67,2018,Wild/Non-Sac,2 Towns Ciderhouse,Traditions 2015 La Mûre,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
154,635,2018,Wild/Non-Sac,Tieton Cider Works,Perry,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
155,1845,2018,English Dry,Cider Riot!,Shaken Tree,Oregon,🥇 Gold,,,,,,,,Inactive
156,181,2018,English Dry,Slake Cider,French Lane Press,Oregon,🥈 Silver,,,,,,,,Inactive
157,67,2018,English Dry,2 Towns Ciderhouse,Cellar Series West Country Replica,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
158,830,2018,English Sweet,Sea Cider Farm & Ciderhouse,Bittersweet,British Columbia,🥇 Gold,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780,Active
159,428,2018,English Sweet,Montana CiderWorks,North Fork Traditional,Montana,🥈 Silver,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
160,118,2018,Heritage Dry,Bauman's Cider,Clyde’s Dry,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
161,276,2018,Heritage Dry,Finnriver Farm & Cidery,Farmstead Cider,Washington,🥈 Silver,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
162,688,2018,Heritage Dry,WildCraft Cider Works,Willamette Heritage,Oregon,🥉 Bronze,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780,Active
163,428,2018,Heritage Sweet,Montana CiderWorks,Darby Pub,Montana,🥇 Gold,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
164,676,2018,Heritage Sweet,Western Cider,Heirloom,Montana,🥉 Bronze,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334,Active
165,67,2018,French,2 Towns Ciderhouse,Traditions 2016 Cidre Bouché,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
166,67,2018,French,2 Towns Ciderhouse,2016 Demi-Sec,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
167,635,2019,Botanical,Tieton Cider Works,Lavender Honey Cider,Washington,🥇 Gold,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
168,345,2019,Botanical,Incline Cider Company,Lemongrass,Washington,🥉 Bronze,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584,Active
169,1845,2019,English Dry,Cider Riot!,1763 Revolutionary West Country Cider,Oregon,🥈 Silver,,,,,,,,Inactive
170,830,2019,English Sweet,Sea Cider Farm & Ciderhouse,Bittersweet,British Columbia,🥈 Silver,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780,Active
